"Gyro (deg)X","Gyro (deg)Y","Gyro (deg)Z"
"-4.19","0.93","-9.59","-0.04","0","-0.91"
"-5.13","2.5","-8.39","-0.09","-0.04","-1.01"
"-6.11","2.65","-0.24","-0.06","0.01","-0.92"
"-1.13","-0.76","2.46","-0.04","-0.01","-0.89"
"4.15","1","3.3","-0.1","-0.01","-0.89"
"-3.63","-0.65","1.4","-0.03","-0.02","-0.93"
"-0.98","2.36","-5.62","-0.07","0.01","-0.94"
"-3.01","7.21","-4.15","-0.03","0","-0.89"
"-4.11","4.39","3.46","-0.04","-0.04","-1"
"6.3","0.05","11.92","-0.06","-0.03","-0.88"
"-3.69","-2.47","17.24","-0.11","0","-1.06"
"5.76","-4.31","8.68","-0.09","0","-0.84"
"-1.78","-6.97","5.8","-0.04","-0.01","-0.95"
"1.85","-0.12","2.34","-0.08","0","-0.97"
"0.57","1.82","1.63","-0.1","-0.02","-0.91"
"-2.51","-0.1","2.88","-0.08","-0.05","-0.95"
"3.24","-5.4","0.49","-0.07","-0.07","-0.97"
"-1.9","3.03","1.88","-0.06","0","-0.98"
"5.77","2.95","-3.05","-0.05","-0.01","-0.94"
"-5.81","0.64","2.76","-0.08","-0.03","-0.96"
"-0.55","-3.16","4.32","-0.09","-0.02","-0.92"
"2.32","-5.34","0.89","-0.06","-0.02","-0.91"
"-7.56","0.82","5.63","-0.11","0.02","-0.97"
"5.33","0.82","-4.9","-0.03","0.03","-0.88"
"-4.28","-1.45","-5.52","-0.05","-0.04","-0.91"
"-2.14","0.79","-2.32","-0.08","0.03","-1.01"
"-3.76","1.61","-2.69","-0.08","-0.01","-0.98"
"-2.15","0.61","0.62","-0.05","-0.02","-0.96"
"0.21","1.24","4.65","-0.09","0.01","-0.99"
"2.72","0.79","4.64","-0.07","0.01","-0.87"
"-1.3","6.8","2.57","-0.14","0.02","-0.93"
"6.69","-2.37","-7.82","-0.04","0","-0.9"
"-0.34","4.29","-9.58","-0.07","0","-0.84"
"-6.09","1.43","0.76","-0.06","0","-1.04"
"-1.73","3.25","7.09","-0.07","0.02","-0.95"
"1.36","-6.94","6.62","-0.07","0","-0.9"
"1.73","-3.74","-0.27","-0.11","0.02","-0.92"
"-3.79","1.16","-2.85","-0.09","0.04","-0.99"
"3.87","-0.89","-9.44","-0.01","0.01","-0.86"
"-3.96","5.57","-3.92","-0.05","0.01","-1"
