Gyro (deg)X;Gyro (deg)Y;Gyro (deg)Z;;;;;;;;;;;;;;
2,29;-1,98;4,1;;;;;;;;;;;;;;
-1,66;-5,21;-0,15;;;;;;;;;;;;;;
-4,15;2,1;-12,95;;;;;;;;;;;;;;
-11,5;-8,52;-15,02;;;;;;;;;;;;;;
4,23;-28,08;-33,66;;;;;;;;;;;;;;
-11,92;6,87;-29,85;;;;;;;;;;;;;;
-26,28;-6,27;-26,04;;;;;;;;;;;;;;
10,41;8,36;-27,53;;;;;;;;;;;;;;
-13,05;-2,99;-7,32;;;;;;;;;;;;;;
-1,06;10,39;-20,75;;;;;;;;;;;;;;
8,63;-7,73;-28,11;;;;;;;;;;;;;;
-26,79;4,95;-15,59;;;;;;;;;;;;;;
3,81;-15,7;-8,37;;;;;;;;;;;;;;
-1,69;8,41;10,15;;;;;;;;;;;;;;
-1,95;-5,26;6,32;;;;;;;;;;;;;;
7,19;3,83;-12,56;;;;;;;;;;;;;;
5,73;-25,5;-11,98;;;;;;;;;;;;;;
-16,1;8,02;-0,05;;;;;;;;;;;;;;
3,2;-1,47;2,72;;;;;;;;;;;;;;
-7,38;1,29;16,66;;;;;;;;;;;;;;
-2,59;9,14;4,73;;;;;;;;;;;;;;
0,8;-25,8;-10,92;;;;;;;;;;;;;;
-47,76;-11,6;10,5;;;;;;;;;;;;;;
21,25;-9,79;3,51;;;;;;;;;;;;;;
9,69;-6,63;-0,48;;;;;;;;;;;;;;
10,58;27,37;-11,89;;;;;;;;;;;;;;
43,58;-14,22;-9,7;;;;;;;;;;;;;;
-53,81;40,6;2,29;;;;;;;;;;;;;;
-4,86;4,15;-2,43;;;;;;;;;;;;;;
-2,05;4,1;-0,34;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
