"Gyro (deg)X","Gyro (deg)Y","Gyro (deg)Z","Accel (g)X","Accel (g)Y","Accel (g)Z","","","",""
"11.82","9.44","-8.84","-0.1","-0.02","-0.92","","","",""
"1.75","19.91","-1.89","-0.05","0.02","-0.97","","","",""
"-0.88","4.15","-1.69","-0.02","-0.02","-0.87","","","",""
"9.85","-2.12","-8.56","-0.04","-0.02","-0.94","","","",""
"-6.09","-4.98","-3.38","-0.03","-0.01","-0.97","","","",""
"1.38","-8.04","-11.56","0.01","-0.07","-0.95","","","",""
"-8.29","-2.24","-9.54","-0.11","0.02","-0.93","","","",""
"-4.19","0.93","-9.59","-0.06","-0.01","-0.98","","","",""
"-5.13","2.5","-8.39","-0.07","-0.06","-0.92","","","",""
"-6.11","2.65","-0.24","-0.07","0","-0.96","","","",""
"-1.13","-0.76","2.46","-0.07","-0.04","-0.91","","","",""
"4.15","1","3.3","-0.1","0","-0.9","","","",""
"-3.63","-0.65","1.4","-0.02","-0.02","-0.93","","","",""
"-0.98","2.36","-5.62","-0.04","-0.05","-0.97","","","",""
"-3.01","7.21","-4.15","-0.07","-0.02","-0.99","","","",""
"-4.11","4.39","3.46","-0.07","-0.04","-0.92","","","",""
"6.3","0.05","11.92","-0.1","-0.04","-0.98","","","",""
"-3.69","-2.47","17.24","-0.08","-0.03","-0.91","","","",""
"5.76","-4.31","8.68","-0.05","-0.05","-0.95","","","",""
"-1.78","-6.97","5.8","-0.04","-0.03","-1","","","",""
"1.85","-0.12","2.34","-0.07","-0.06","-0.95","","","",""
"0.57","1.82","1.63","-0.1","0","-0.96","","","",""
"-2.51","-0.1","2.88","-0.03","0","-0.92","","","",""
"3.24","-5.4","0.49","-0.08","0","-0.92","","","",""
"-1.9","3.03","1.88","-0.11","-0.03","-1.06","","","",""
"5.77","2.95","-3.05","-0.07","-0.05","-0.9","","","",""
"-5.81","0.64","2.76","-0.07","-0.03","-0.94","","","",""
"-0.55","-3.16","4.32","-0.04","0","-0.91","","","",""
"2.32","-5.34","0.89","-0.09","-0.04","-1.01","","","",""
"-7.56","0.82","5.63","-0.06","0.01","-0.92","","","",""
"5.33","0.82","-4.9","-0.04","-0.01","-0.89","","","",""
"-4.28","-1.45","-5.52","-0.1","-0.01","-0.89","","","",""
"-2.14","0.79","-2.32","-0.03","-0.02","-0.93","","","",""
"-3.76","1.61","-2.69","-0.07","0.01","-0.94","","","",""
"8.48","-15.5","10.05","-0.03","0","-0.89","","","",""
"3.31","-7.36","-2.96","-0.04","-0.04","-1","","","",""
"5.44","11.49","-15.13","-0.06","-0.03","-0.88","","","",""
"2.54","-2.21","-16.73","-0.11","0","-1.06","","","",""
"-11.35","0.29","-4.53","-0.09","0","-0.84","","","",""
"2.53","1.7","-7.31","-0.04","-0.01","-0.95","","","",""
"-4.61","2.08","-3.4","-0.08","0","-0.97","","","",""
"-5.16","-1.8","-4.24","-0.1","-0.02","-0.91","","","",""
"12.14","-4.15","-18.31","-0.08","-0.05","-0.95","","","",""
"-4.85","-2.67","-17.34","-0.07","-0.07","-0.97","","","",""
"-6.63","-3.79","-9.4","-0.06","0","-0.98","","","",""
"-3.01","-1.71","-2.69","-0.05","-0.01","-0.94","","","",""
"2.29","-1.98","4.1","-0.08","-0.03","-0.96","","","",""
"-1.66","-5.21","-0.15","-0.09","-0.02","-0.92","","","",""
"-4.15","2.1","-12.95","-0.06","-0.02","-0.91","","","",""
"-11.5","-8.52","-15.02","-0.11","0.02","-0.97","","","",""
"4.23","-28.08","-33.66","-0.03","0.03","-0.88","","","",""
